RecordID	Category	Start Time	End Time	Attributes
Guid6	toolTip	5/8/2013 04:59:17		p1=cbCategory
Guid6	cbCategory	5/8/2013 04:59:19		p1=false
Guid6	readBoundData	5/8/2013 04:59:46		p1=2; p2=false; p3=0.7634927223831571; p4=1.22264638889623
Guid6	toolTip	5/8/2013 05:00:00		p1=dataShape; p2=2
Guid6	readBoundData	5/8/2013 05:00:24		p1=20; p2=false; p3=0.7634927223831571; p4=41
Guid6	readBoundData	5/8/2013 05:00:24		p1=20; p2=false; p3=0.7634927223831571; p4=41
Guid6	readBoundData	5/8/2013 05:00:25		p1=20; p2=false; p3=0.7634927223831571; p4=41
Guid7	appInit	5/8/2013 06:51:57		p1=histogram; p2=machineId_1367995970202_0.4407435153542096; p3=docId_i8igfSCXPID9ouWYOW2khmUYlR9-J_Dkr2OedbCcI+Q^
Guid7	resize	5/8/2013 06:51:57		p1=600; p2=300
Guid7	resize	5/8/2013 06:51:57		p1=600; p2=300
Guid7	create	5/8/2013 06:51:57		
Guid7	toolTip	5/8/2013 06:52:11		p1=plotBg
Guid7	toolTip	5/8/2013 06:52:14		p1=dataShape; p2=undefined
Guid7	toolTip	5/8/2013 06:53:05		p1=tbBins
Guid7	writeSampleData	5/8/2013 06:53:09		
Guid7	error	5/8/2013 06:53:10		p1=The%20set%20operation%20failed%20because%20the%20supplied%20data%20object%20will%20overwrite%20or%20shift%20data.
Guid7	toolTip	5/8/2013 06:53:10		p1=btSampleData
Guid7	toolBarToggle	5/8/2013 06:53:17		p1=false
Guid7	toolTip	5/8/2013 06:53:18		p1=pinImg
Guid7	toolBarToggle	5/8/2013 06:53:18		p1=true
Guid8	create	6/8/2013 00:53:31		bindingName=colorBindingId
Guid8	create	6/8/2013 00:53:31		bindingName=bindingId
Guid8	appInit	6/8/2013 00:53:31		chartName=treemap; machineId=machineId_1370652815932_0.3622261708170552; docId=docId_o0CXiVl2zT_DoIRjIkhM2a-mv/CG3BDnYBPT3gIEDBI^
Guid8	create	6/8/2013 00:53:31		bindingName=sizeBindingId
Guid8	resize	6/8/2013 00:53:31		width=600; height=400
Guid8	resize	6/8/2013 00:53:31		width=600; height=400
Guid8	treeStats	6/8/2013 00:53:31		rootCount=0; leaveCount=0; maxDepth=0; nameColCount=0; namesWithBlanks=0
Guid8	toolBarToggle	6/8/2013 00:54:12		isVisible=false
Guid8	toolTip	6/8/2013 00:54:12		id=pinImg
Guid8	toolBarToggle	6/8/2013 00:54:14		isVisible=true
Guid8	btColor	6/8/2013 00:54:17		isShowingPalette=false
Guid8	closeColorPicker	6/8/2013 00:54:18		
Guid9	appInit	6/8/2013 01:15:24		chartName=streamGraph; machineId=; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid9	create	6/8/2013 01:15:24		bindingName=xBindingId
Guid9	create	6/8/2013 01:15:24		bindingName=bindingId
Guid9	resize	6/8/2013 01:15:24		width=600; height=401
Guid9	resize	6/8/2013 01:15:24		width=600; height=401
Guid9	toolBarToggle	6/8/2013 01:15:49		isVisible=false
Guid9	toolTip	6/8/2013 01:15:49		id=pinImg
Guid9	toolBarToggle	6/8/2013 01:15:49		isVisible=true
Guid9	writeSampleData	6/8/2013 01:15:52		
Guid9	toolTip	6/8/2013 01:15:52		id=btSampleData
Guid9	toolTip	6/8/2013 01:15:55		id=chartTitle
Guid9	setTitle	6/8/2013 01:16:00		length=4
Guid9	toolTip	6/8/2013 01:16:21		id=btXColumn
Guid9	bindFromPrompt	6/8/2013 01:16:24		
Guid9	aboutBox	6/8/2013 01:16:28		
Guid9	toolTip	6/8/2013 01:16:28		id=btAbout
Guid9	closeAboutBox	6/8/2013 01:16:30		
Guid9	btColor	6/8/2013 01:16:42		isShowingPalette=false
Guid9	toolTip	6/8/2013 01:16:43		id=btColor
Guid9	pickedColor	6/8/2013 01:16:43		"color=rgb(165,%20165,%20165)"
Guid9	pickedColor	6/8/2013 01:16:45		"color=rgb(237,%20125,%2049)"
Guid9	readBoundData	6/8/2013 01:16:52		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=0; max=2013
Guid9	readBoundData	6/8/2013 01:16:52		colName=x; rowCount=6; userSpecified=true; isCategorical=false; min=2008; max=2013
Guid9	readBoundData	6/8/2013 01:17:25		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=0; max=8197
Guid9	readBoundData	6/8/2013 01:17:31		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=0; max=7327
Guid9	readBoundData	6/8/2013 01:17:32		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=150; max=9751
Guid9	readBoundData	6/8/2013 01:20:09		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=274; max=8912
Guid9	readBoundData	6/8/2013 01:20:09		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=496; max=9863
Guid10	create	6/8/2013 02:30:56		bindingName=bindingId
Guid10	create	6/8/2013 02:30:56		bindingName=xBindingId
Guid10	appInit	6/8/2013 02:30:56		chartName=streamGraph; machineId=machineId_1370658656147_0.952815508134339; docId=docId_FXaKAoVa9JYQMszsIO20nVTAyylzw5gLpxpSzVG-9Vk^
Guid10	resize	6/8/2013 02:30:56		width=600; height=400
Guid10	resize	6/8/2013 02:30:56		width=600; height=400
Guid10	error	6/8/2013 02:31:15		msg=���ò���ʧ�ܣ���Ϊ�ṩ�����ݶ��󽫸��ǻ��ƶ����ݡ�
Guid10	writeSampleData	6/8/2013 02:31:15		
Guid10	toolTip	6/8/2013 02:31:15		id=btSampleData
Guid10	closeErrorBox	6/8/2013 02:31:17		
Guid10	toolTip	6/8/2013 02:31:18		id=pinImg
Guid10	toolBarToggle	6/8/2013 02:31:22		isVisible=false
Guid10	toolBarToggle	6/8/2013 02:31:25		isVisible=true
Guid11	create	6/8/2013 02:31:38		bindingName=bindingId
Guid11	create	6/8/2013 02:31:38		bindingName=xBindingId
Guid11	appInit	6/8/2013 02:31:38		chartName=streamGraph; machineId=machineId_1370658656147_0.952815508134339; docId=docId_FXaKAoVa9JYQMszsIO20nVTAyylzw5gLpxpSzVG-9Vk^
Guid11	resize	6/8/2013 02:31:38		width=600; height=400
Guid11	resize	6/8/2013 02:31:38		width=600; height=400
Guid11	btColor	6/8/2013 02:31:40		isShowingPalette=false
Guid11	toolTip	6/8/2013 02:31:40		id=btColor
Guid11	pickedColor	6/8/2013 02:31:41		"color=rgb(255,%20192,%200)"
Guid11	toolTip	6/8/2013 02:31:43		id=chartTitle
Guid11	aboutBox	6/8/2013 02:31:43		
Guid11	toolTip	6/8/2013 02:31:43		id=btAbout
Guid11	closeAboutBox	6/8/2013 02:31:44		
Guid11	toolBarToggle	6/8/2013 02:31:53		isVisible=false
Guid11	toolTip	6/8/2013 02:31:53		id=pinImg
Guid11	toolBarToggle	6/8/2013 02:31:55		isVisible=true
Guid12	appInit	6/8/2013 02:32:01		chartName=streamGraph; machineId=machineId_1370658656147_0.952815508134339; docId=docId_FXaKAoVa9JYQMszsIO20nVTAyylzw5gLpxpSzVG-9Vk^
Guid12	create	6/8/2013 02:32:01		bindingName=xBindingId
Guid12	create	6/8/2013 02:32:01		bindingName=bindingId
Guid12	resize	6/8/2013 02:32:01		width=600; height=400
Guid12	resize	6/8/2013 02:32:01		width=600; height=400
Guid13	create	6/8/2013 02:42:26		bindingName=bindingId
Guid13	create	6/8/2013 02:42:26		bindingName=xBindingId
Guid13	appInit	6/8/2013 02:42:26		chartName=streamGraph; machineId=machineId_1370659333969_0.8293774475380424; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid13	resize	6/8/2013 02:42:26		width=600; height=400
Guid13	resize	6/8/2013 02:42:26		width=600; height=400
Guid13	aboutBox	6/8/2013 02:42:40		
Guid13	toolTip	6/8/2013 02:42:41		id=btAbout
Guid13	closeAboutBox	6/8/2013 02:42:48		
Guid13	toolTip	6/8/2013 02:42:51		id=btSampleData
Guid13	bindFromPrompt	6/8/2013 02:43:54		
Guid13	readBoundData	6/8/2013 02:43:54		colName=series; rowCount=4; seriesCount=12; isCategorical=false; min=0; max=79.24774452598247
Guid13	warning	6/8/2013 02:43:54		msg=Warning:%201%20or%20more%20non-numeric%20values%20were%20converted%20to%200.
Guid13	readBoundData	6/8/2013 02:43:54		colName=x; rowCount=4; userSpecified=false; isCategorical=false; min=1; max=4
Guid13	closeErrorBox	6/8/2013 02:44:01		
Guid13	error	6/8/2013 02:44:03		msg=error:%20horizontal%20label%20values%20be%20must%20valid%20and%20increasing%20numbers
Guid13	readBoundData	6/8/2013 02:44:03		colName=series; rowCount=4; seriesCount=12; isCategorical=false; min=NaN; max=NaN
Guid13	readBoundData	6/8/2013 02:44:03		colName=x; rowCount=4; userSpecified=true; isCategorical=true
Guid13	writeSampleData	6/8/2013 02:44:43		
Guid13	error	6/8/2013 02:44:43		msg=�ṩ�����ݶ����뵱ǰ��ѡ���ݵ���״��ߴ粻���ݡ�
Guid13	readBoundData	6/8/2013 02:44:54		colName=series; rowCount=1; seriesCount=12; isCategorical=false; min=NaN; max=NaN
