NewColumn.Index	Attribute	Value
Guid68	vers	v2
Guid69	anonIP	ip43
Guid69	ChartId	chartId_1389161432226_0.880807598290512
Guid69	vers	v2
Guid70	anonIP	ip43
Guid70	ChartId	chartId_1389162678453_0.97006588750823
Guid70	vers	v2
Guid71	anonIP	ip43
Guid71	ChartId	chartId_1389163187280_0.1742163393926749
Guid71	vers	v2
Guid72	anonIP	ip43
Guid72	ChartId	chartId_1389163244763_0.9478447303994972
Guid72	vers	v2
Guid61	anonIP	ip44
Guid61	ChartId	chartId_1389139570776_0.40658282143615104
Guid61	vers	v2
Guid64	anonIP	ip45
Guid64	ChartId	chartId_1389149518440_0.31433780143683576
Guid64	vers	v2
Guid65	anonIP	ip46
Guid65	ChartId	chartId_1389156633381_0.7911714480369707
Guid65	vers	v2
Guid73	anonIP	ip47
Guid73	ChartId	chartId_1389166064976_0.018737241745590605
Guid73	vers	v2
Guid74	anonIP	ip47
Guid74	ChartId	chartId_1389166229264_0.17560402550992504
Guid74	vers	v2
Guid75	anonIP	ip48
Guid75	ChartId	chartId_1389166234141_0.32833128454271643
Guid75	vers	v2
Guid76	anonIP	ip48
Guid76	ChartId	chartId_1389166457034_0.8682936628886581
Guid76	vers	v2
Guid77	anonIP	ip49
Guid77	ChartId	chartId_1391818147456_0.7710294103804012
Guid77	vers	v2
Guid78	anonIP	ip50
Guid78	ChartId	chartId_1390138558748_0.21014208643069893
Guid78	vers	v2
Guid79	anonIP	ip51
Guid79	ChartId	chartId_1391832603308_0.3251500181970953
Guid79	vers	v2
Guid80	anonIP	ip51
Guid80	ChartId	chartId_1391833713362_0.45479409349848265
Guid80	vers	v2
Guid81	anonIP	ip51
Guid81	ChartId	chartId_1391835644082_0.8984330093755641
Guid81	vers	v2
Guid82	anonIP	ip52
Guid82	ChartId	chartId_1391835791554_0.8322945571717357
Guid82	vers	v2
Guid83	anonIP	ip53
Guid83	ChartId	chartId_1391843202597_0.09140453097342388
Guid83	vers	v2
Guid84	anonIP	ip54
Guid84	ChartId	chartId_1391845168055_0.5489803574465089
Guid84	vers	v2
Guid85	anonIP	ip55
Guid85	ChartId	chartId_1391845168055_0.5489803574465089
Guid85	vers	v2
Guid86	anonIP	ip56
Guid86	ChartId	chartId_1391845168055_0.5489803574465089
Guid86	vers	v2
Guid87	anonIP	ip57
Guid87	ChartId	chartId_1391845168055_0.5489803574465089
Guid87	vers	v2
Guid88	anonIP	ip58
Guid88	ChartId	chartId_1391845168055_0.5489803574465089
Guid88	vers	v2
Guid89	anonIP	ip59
Guid89	ChartId	chartId_1391845168055_0.5489803574465089
Guid89	vers	v2
Guid90	anonIP	ip60
Guid90	ChartId	chartId_1391845168055_0.5489803574465089
Guid90	vers	v2
Guid91	anonIP	ip61
Guid91	ChartId	chartId_1394248773726_0.22970963864327948
Guid91	vers	v2
Guid92	anonIP	ip62
Guid92	ChartId	chartId_1394253373930_0.4025516128489606
